Id;Label;Tipo;CategoriaNo
ADRIANA CRISTINA CHERRI NICOLA;ADRIANA CRISTINA CHERRI NICOLA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA DA COSTA BRAGA;ADRIANA DA COSTA BRAGA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA FONTES;ADRIANA FONTES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA NEUMANN DE OLIVEIRA;ADRIANA NEUMANN DE OLIVEIRA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA PAVESI ARISSETO BRAGOTTO;ADRIANA PAVESI ARISSETO BRAGOTTO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA PEREIRA MUNDIM GUEDES MACEDO;ADRIANA PEREIRA MUNDIM GUEDES MACEDO;EGRESSO;EGRESSO
ADRIANA RAFFIN POHLMANN;ADRIANA RAFFIN POHLMANN;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANA RAMOS;ADRIANA RAMOS;NÃO INFORMADO;NAO_INFORMADO
ADRIANE MARQUES DE SOUZA;ADRIANE MARQUES DE SOUZA;EGRESSO;EGRESSO
ADRIANO ADREGA DE MOURA;ADRIANO ADREGA DE MOURA;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO AGUIAR MENDES;ADRIANO AGUIAR MENDES;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO ANTONIO NATALE;ADRIANO ANTONIO NATALE;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO CAVALCANTE BEZERRA;ADRIANO CAVALCANTE BEZERRA;NÃO INFORMADO;NAO_INFORMADO
ADRIANO DA SILVA;ADRIANO DA SILVA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO DE SOUZA MARTINS;ADRIANO DE SOUZA MARTINS;DOCENTE;DOCENTE_PRIMEIRO_AUTOR
ADRIANO DEFINI ANDRICOPULO;ADRIANO DEFINI ANDRICOPULO;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO DOFF SOTTA GOMES;ADRIANO DOFF SOTTA GOMES;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO FRANCISCO MONTEIRO DOS SANTOS;ADRIANO FRANCISCO MONTEIRO DOS SANTOS;EGRESSO;EGRESSO
ADRIANO GALINDO LEAL;ADRIANO GALINDO LEAL;DOCENTE;DOCENTE_NAO_PRIMEIRO
ADRIANO HENRIQUE BRAGA;ADRIANO HENRIQUE BRAGA;PÓS-DOC;POS_DOC
ADRIANO KAMIMURA SUZUKI;ADRIANO KAMIMURA SUZUKI;DOCENTE;DOCENTE_NAO_PRIMEIRO
ADRIANO MESQUITA ALENCAR;ADRIANO MESQUITA ALENCAR;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO OTAVIO MALDANER;ADRIANO OTAVIO MALDANER;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
ADRIANO ROESSLER VIANA;ADRIANO ROESSLER VIANA;PARTICIPANTE EXTERNO;PARTICIPANTE_EXTERNO
